"MSN","YYYYMM","Value","Column_Order","Description","Unit","Date"
"ESTCUUS",200111,7.02,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2001-11-01
"ESTCUUS",200112,7.03,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2001-12-01
"ESTCUUS",200201,6.95,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2002-01-01
"ESTCUUS",200202,6.97,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2002-02-01
"ESTCUUS",200203,6.95,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2002-03-01
"ESTCUUS",200204,6.95,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2002-04-01
"ESTCUUS",200205,7.11,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2002-05-01
"ESTCUUS",200206,7.45,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2002-06-01
"ESTCUUS",200207,7.68,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2002-07-01
"ESTCUUS",200208,7.58,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2002-08-01
"ESTCUUS",200209,7.36,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2002-09-01
"ESTCUUS",200210,7.2,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2002-10-01
"ESTCUUS",200211,6.94,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2002-11-01
"ESTCUUS",200212,6.96,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2002-12-01
"ESTCUUS",200301,7,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2003-01-01
"ESTCUUS",200302,7.05,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2003-02-01
"ESTCUUS",200303,7.16,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2003-03-01
"ESTCUUS",200304,7.27,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2003-04-01
"ESTCUUS",200305,7.42,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2003-05-01
"ESTCUUS",200306,7.78,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2003-06-01
"ESTCUUS",200307,8.02,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2003-07-01
"ESTCUUS",200308,7.97,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2003-08-01
"ESTCUUS",200309,7.61,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2003-09-01
"ESTCUUS",200310,7.39,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2003-10-01
"ESTCUUS",200311,7.19,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2003-11-01
"ESTCUUS",200312,7.14,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2003-12-01
"ESTCUUS",200401,7.22,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2004-01-01
"ESTCUUS",200402,7.25,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2004-02-01
"ESTCUUS",200403,7.3,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2004-03-01
